country,code.3,code.2,type,capital,founding.date,capital.lat,capital.long,telephone.lines,telephone.mobile,internet.users,broadband.subscriptions,gdp.ppp,gdp.growth.rate,gdp.per.capita,gross.national.savings,industrial.production.growth.rate,labor.force.size,unemployment.rate,gini.index,tax.revenue,budget.surplus,debt,inflation.rate,central.bank.discount.rate,bank.lending.rate,current.account.balance,exports,imports,foreign.exchange,debt.external,electricity.production,electricity.consumption,electricity.exports,electricity.imports,electricity.capaicty,electricity.fossil.fuels,electricity.nuclear,electricity.hydroelectric,electricity.renewable,oil.production,oil.exports,oil.imports,oil.reserves,petroleum.production,natural.gas.production,natural.gas.consumption,natural.gas.export,natural.gas.import,natural.gas.reserves,co2.emissions,area,military.expenditures,population,age.median,population.growth.rate,birth.rate,death.rate,migration.net.rate,mortality.maternal.rate,mortality.infant.rate,life.expectany,fertility.rate,obesity.rate,underweight.children.under.5.rate,education.expenditures,unemployment.rate.youth,airports,railways,roadways,education.per.gdp,ag.area.per.total,ag.sq.km,arable.land.per.total,arable.land.hect.per.capita,birth.rate.per.1000,fish.production.1000.tons,co2.emissions.total,co2.emissions.per.capita,co2.emissions.from.gas.fuels,co2.emissions.from.liquid.fuels,death.rate.per.1000,fertility.rate.per.woman,fdi,forest.area.percent,gdp.constant,gdp.current,internet.access.percentage,inflation.rate,land.area.sq.km,life.expectancy.female,life.expectancy.male,life.expectancy.all,exports,imports,mobile.subscriptions.per.100,open.defecation.percentage,drinking.water.percentage,sanitation.percentage,population.density,populatiion.growth.rate,population.total,preeducation.years.avg,primary.education.avg,population.rural,population.rural.percentage,population.rural.growth.rate,science.articles,secondary.education.avg,internet.servers.per.million,area.sq.km,fish.production.tons,urban.populaiton,urban.population.percentage,urban.population.growth.rate,protected.areas.percentage,terrestrial.protected.areas.percentage
Qatar,QAT,QA,emirate,Doha,9/3/71,25 17 N,51 32 E,"440,909","3,913,809","2,129,360","256,094","$339,500,000,000 ",1.6,"$124,100 ",50.2,3,"1,953,000",8.9,41.1,26.4,-5.8,53.8,0.4,5,4.95,6426000000.00,"$67,500,000,000 ","$30,770,000,000 ","$15,010,000,000 ","$167,800,000,000 ","39,780,000,000","37,240,000,000",0,0,"8,796,000.00",100,0,0,1,"1,464,000","1,150,000",0,"25,240,000,000","273,800","166,400,000,000","39,900,000,000","126,500,000,000",0,"24,070,000,000,000","114,200,000.00","11,586.00",NA,"2,363,569",33.4,1.95,9.5,1.6,11.5,9,6,79,1.89,35.1,NA,2.9,0.5,6,NA,"7,039",2.343492273,5.770887166,670,1.23169683,0.005387334,9.862,14516,103259.053,38.90147093,93.1105508,2.418409745,1.146,1.907,773901098.9,0,1.70685E+11,1.51732E+11,95.12466217,-8.145235361,11610,81.61,78.69,79.868,5.73E+10,3.21E+10,137.606042,0,99.62980166,100,228.6282515,3.397360191,2654374,6,6,26146,0.985,-3.465600323,1389.03,6,362.7974053,11610,14526,2628228,99.015,3.468056246,0.778383955,2.45
Romania,ROU,RO,republic,Bucharest,5/9/1877,44 26 N,26 06 E,"3,890,000","22,550,000","12,852,696","4,780,000","$483,400,000,000 ",6.9,"$24,600 ",21.1,5.5,"8,951,000",4.9,27.3,29.3,-2.8,36.8,1.3,1.75,5.57,-7114000000.00,"$64,580,000,000 ","$78,120,000,000 ","$44,430,000,000 ","$95,970,000,000 ","61,780,000,000","49,640,000,000","11,220,000,000","4,177,000,000","23,940,000.00",47,6,29,19,"70,000","2,076","145,300","600,000,000","232,600","10,870,000,000","11,580,000,000","22,650,000","1,218,000,000","105,500,000,000","72,070,000.00","238,391.00",2.04,"21,457,116",41.6,-0.35,8.7,12,-0.2,19,9.2,75.6,1.36,22.5,NA,3.1,18.3,45,"11,268","84,185",2.81,58.76651599,135210,37.30006954,0.435584392,10.4,12728,69258.629,3.515261924,29.78768465,34.43109017,13.1,1.69,6252035766,30.12082839,2.0169E+11,1.88494E+11,59.50395129,2.455509064,230080,79,71.6,75.2097561,6.35E+10,7.46E+10,115.6782699,0,100,83.55720095,85.63224531,-0.573660845,19702267,6,5,9082745,46.1,-0.601857328,10511.4,8,3421.484441,238400,25302.03,10619522,53.9,-0.549538436,22.57996783,24.35
Russia,RUS,RU,federation,Moscow,8/24/91,55 45 N,37 36 E,"31,190,855","227,341,873","108,772,470","30,872,788","$4,016,000,000,000 ",1.5,"$27,900 ",26.5,-1,"76,530,000",5.2,41.2,16.4,-1.4,15.5,3.7,10,10.55,35440000000.00,"$353,000,000,000 ","$238,000,000,000 ","$432,700,000,000 ","$539,600,000,000 ","1,031,000,000,000","909,600,000,000","13,130,000,000","3,194,000,000","244,900,000.00",68,11,21,1,"10,759,000","4,921,000","76,220","80,000,000,000","6,076,000","665,600,000,000","467,500,000,000","210,200,000,000","15,770,000,000","47,800,000,000,000","1,847,000,000.00","17,098,242.00",3.93,"142,122,776",39.8,-0.11,10.7,13.4,1.7,17,6.7,71.3,1.61,23.1,NA,3.7,16.3,"1,218","87,157","1,283,387",3.621614017,13.29447034,2177218.125,7.518031242,0.852984457,12.9,4773413,1732026.776,11.99943207,49.09744923,22.59446825,12.9,1.762,32538900000,49.75856192,1.66569E+12,1.27679E+12,73.09143462,2.844222697,16376870,77.06,66.5,71.65121951,2.82E+11,1.91E+11,157.718498,0,96.96095058,90.06288151,8.813796287,0.170244546,144342396,5,4,37292301,25.836,-0.270031381,62661.74,7,1163.947701,17098250,4947253,107050095,74.164,0.324076821,7.611176526,9.72
Rwanda,RWA,RW,republic,Kigali,7/1/62,1 57 S,30 03 E,"12,333","8,819,217","3,724,678","21,780","$24,680,000,000 ",6.1,"$2,100 ",12.5,4.2,"6,227,000",2.7,50.4,21.3,-4.3,40.5,4.8,7.75,17.17,-622000000.00,"$1,050,000,000 ","$1,922,000,000 ","$997,600,000 ","$3,258,000,000 ","525,000,000","527,300,000","4,000,000","42,000,000","191,000.00",42,0,51,7,0,0,0,0,0,0,0,0,0,"56,630,000,000","985,600.00","26,338.00",1.23,"12,187,400",19.2,2.3,29.8,6.3,-0.5,248,29.1,64.5,3.75,5.8,9.6,3.1,22.6,7,NA,"4,700",3.15436107,73.43737135,18116.99951,46.68422988,0.098698939,32.353,25013,1114.768,0.095533926,4.934210526,77.30263158,5.435,4.123,266300000,19.73246809,9248953379,8734161828,20,5.011647405,24670,69.954,65.81,67.93,7.31E+08,2.25E+09,76.45612537,2.311972538,56.9816187,65.41228848,472.9962708,2.602355764,11668818,6,6,9678584,82.944,2.539680126,127.71,6,12.76907395,26340,26593,1990234,17.056,2.907711061,9.115161421,9.12
Saudi Arabia,SAU,SA,monarchy,Riyadh,9/23/32,24 39 N,46 42 E,"3,619,352","40,210,965","20,768,456","2,498,692","$1,775,000,000,000 ",-0.9,"$54,500 ",30.1,-2.4,"13,800,000",6,45.9,26.4,-8.9,17.2,-0.9,2.5,8.3,15230000000.00,"$221,100,000,000 ","$119,300,000,000 ","$496,400,000,000 ","$205,100,000,000 ","324,100,000,000","296,200,000,000",0,0,"82,940,000.00",100,0,0,0,"10,425,000","7,341,000",0,"266,200,000,000","2,476,000","109,300,000,000","109,300,000,000",0,0,"8,619,000,000,000","657,100,000.00","2,149,690.00",8.78,"33,091,113",29.9,1.63,15.6,3.3,4.1,17,12.1,75.7,2.04,35.4,NA,NA,24.2,214,"5,410","221,372",7.1861867,80.76466839,1736190,1.617442515,0.107173993,18.858,68082,563449.218,17.36758781,37.7985604,57.23508662,3.426,2.435,7452533333,0.454484135,6.90069E+11,6.44936E+11,74.87927469,-3.046414213,2149690,76.373,73.548,74.761,1.84E+11,1.40E+11,147.7417643,0,99.86361215,99.90776106,15.09174439,2.259766669,32442572,4,6,5385143,16.599,0.937147573,9458.63,6,106.0951641,2149690,108002,27057429,83.401,2.525103013,4.040946038,4.33
Sudan,SDN,SD,"federal republic ruled by the National Congress Party (NCP), which seized power by military coup in 1989; the CPA-mandated Government of National Unity",Khartoum,1/1/56,15 36 N,32 32 E,"143,280","28,644,139","10,284,260","31,082","$177,400,000,000 ",1.4,"$4,300 ",12.1,4.5,"11,920,000",19.6,NA,18.5,-10.6,121.6,32.4,NA,13,-4811000000.00,"$4,100,000,000 ","$8,220,000,000 ","$198,000,000 ","$56,050,000,000 ","13,990,000,000","12,120,000,000",0,0,"3,437,000.00",44,0,51,6,"95,000","19,540","9,440","5,000,000,000","94,830",0,0,0,0,"84,950,000,000","16,030,000.00","1,861,484.00",2.28,"43,120,843",17.9,2.93,34.2,6.7,1.9,295,44.2,65.8,4.85,6.6,33.5,2.2,20,74,"7,251",NA,2.18,NA,681861.5625,NA,NA,32.923,33002,19999.818,NA,0,89.9889989,7.34,4.532,1063767535,NA,74364157367,51772232495,14.09999994,-2.745313113,NA,66.457,62.9,64.663,3.09E+09,8.31E+09,69.78439192,24.39856462,60.21588504,36.48562591,NA,2.398807904,39847440,2,6,26251095,65.879,2.054829586,376.74,5,1.262871576,NA,37502,13596345,34.121,3.066309218,2.753300839,2.28
Senegal,SEN,SN,republic,Dakar,4/4/60,14 44 N,17 38 W,"290,636","15,758,366","3,675,209","111,795","$54,800,000,000 ",7.2,"$3,500 ",21.2,7.7,"6,966,000",48,40.3,19.6,-3.6,48.3,1.3,0.25,5.4,-1547000000.00,"$2,362,000,000 ","$5,217,000,000 ","$1,827,000,000 ","$8,571,000,000 ","4,167,000,000","3,497,000,000",0,0,"977,000.00",82,0,7,11,0,0,"17,880",0,"17,590","59,460,000","59,460,000",0,0,0,"8,644,000.00","196,722.00",1.38,"15,020,945",19,2.36,32.9,7.9,-1.4,315,48,62.5,4.2,8.8,14.4,4.8,8.1,20,906,"16,665",4.988725802,46.06035423,88680,16.62078637,0.213425419,35.727,474162,10901.991,0.727113125,0.403632694,62.66397578,5.985,4.77,472409799.8,42.76216694,21467075637,19040312815,25.66476804,0.95564952,192530,68.999,64.972,67.078,2.64E+09,5.48E+09,101.2869961,14.32965922,79.46231534,50.78331894,77.87632057,2.807361306,14993528,3,6,8052124,53.704,2.002473995,367.86,7,7.069717014,196710,476240.8,6941404,46.296,3.749230983,14.48995146,25.21
Singapore,SGP,SG,parliamentary republic,Singapore,8/9/65,1 17 N,103 51 E,"1,983,100","8,462,800","4,683,200","1,470,400","$528,100,000,000 ",3.6,"$94,100 ",46.5,5.7,"3,657,000",2.2,45.9,15.7,-0.3,111.1,0.6,2.15,5.28,60990000000.00,"$396,800,000,000 ","$312,100,000,000 ","$279,900,000,000 ","$566,100,000,000 ","48,660,000,000","47,690,000,000",0,0,"13,350,000.00",98,0,0,2,0,"14,780","783,300",0,"755,000",0,"12,970,000,000","622,900,000","13,480,000,000",0,"249,500,000.00",719.2,3.3,"5,995,991",34.9,1.79,8.7,3.5,12.7,8,2.3,85.5,0.84,6.1,NA,2.9,9.1,9,NA,"3,500",2.76,0.930888592,6.600000262,0.789844838,9.99E-05,9.4,1234,37535.412,6.694046297,52.88198515,42.23329426,4.8,1.2,70721187918,23.06064884,3.0864E+11,3.18652E+11,84.45226789,0.69532255,709.0000153,85.1,80.7,82.84634146,3.30E+11,2.83E+11,149.6506495,0,100,100,7908.720563,1.297436099,5607283,6,6,0,0,NA,11880.88,4,19060.74653,719.0000153,7346.361,5607283,100,1.297436099,2.486652527,5.62
Solomon Islands,SLB,SB,parliamentary democracy,Honiara,7/7/78,9 26 S,159 57 E,"7,405","465,331","69,859","1,166","$1,330,000,000 ",3.5,"$2,200 ",13.1,3.6,"202,500",NA,NA,41,-2.9,9.4,0.5,NA,10.7,-54000000.00,"$468,600,000 ","$462,100,000 ",$0 ,"$757,000,000 ","103,000,000","95,790,000",0,0,"38,000.00",92,0,0,8,0,0,0,0,0,0,0,0,0,0,"233,500.00","28,896.00",NA,"660,121",22.8,1.9,24.5,3.8,-1.7,104,14.3,75.8,3.09,22.5,16.2,9.9,1.3,36,NA,"1,390",9.94,3.8585209,1080,0.714540907,0.032287384,33.255,66445.36,168.682,0.272315022,0,100,4.326,4.452,37343622.77,77.8635192,898807026.1,1230459714,11.00090227,3.677257877,27990,74.287,70.777,72.424,4.37E+08,4.54E+08,67.24999112,53.93662078,68.54479987,32.75394136,22.1306538,2.669813517,619437,3,6,478063,77.177,2.07166902,14.96,7,37.13049107,28900,77027.36,141374,22.823,4.719390326,0.155282525,2.21
Sierra Leone,SLE,SL,constitutional democracy,Freetown,4/27/61,8 29 N,13 14 W,"17,000","6,279,270","708,615",NA,"$11,550,000,000 ",3.7,"$1,600 ",10,15.5,"2,972,000",15,34,15.6,-7.9,63.9,18.2,NA,17.92,-407000000.00,"$808,400,000 ","$1,107,000,000 ","$478,000,000 ","$1,615,000,000 ","300,000,000","279,000,000",0,0,"113,300.00",23,0,51,26,0,0,0,0,0,0,0,0,0,0,"984,800.00","71,740.00",0.8,"6,312,212",19.1,2.4,36,10.2,-1.8,"1,120",66.7,59,4.69,8.7,18.2,4.6,9.4,8,NA,NA,2.713514343,54.71044611,39490,21.94513716,0.216132489,34.483,202100,1092.766,0.149104947,0,85.23489933,12.294,4.457,137965732.5,43.05347877,3355384560,3674794530,11.77318438,1.775622471,72180,54.258,52.586,53.444,6.24E+08,1.07E+09,85.67897704,18.10408014,59.56314329,15.29304218,101.5355777,2.164441213,7328838,3,6,4307305,58.772,1.48785378,46.16,7,1.500920064,72300,202175,3021533,41.228,3.136924709,3.297283944,9.39
El Salvador,SLV,SV,republic,San Salvador,9/15/1821,13 42 N,89 12 W,"677,599","9,982,186","1,785,254","442,727","$51,170,000,000 ",2.3,"$8,000 ",14.9,3.6,"2,774,000",7,36,23.7,-2.5,67.9,1,NA,6.47,-501000000.00,"$4,662,000,000 ","$9,499,000,000 ","$3,567,000,000 ","$15,510,000,000 ","5,830,000,000","5,928,000,000","89,600,000","1,066,000,000","1,983,000.00",49,0,23,29,0,0,0,0,0,0,0,0,0,0,"7,331,000.00","21,041.00",1.03,"6,187,271",27.6,0.25,16.1,5.8,-7.8,46,16.3,75.1,1.84,24.6,5,3.8,10.1,68,13,"9,012",3.755548122,76.44787645,15840,35.56949807,0.115950821,18.587,54084,7168.985,1.1278829,0,93.04347826,6.984,2.079,479469380.7,12.57722037,21500058290,24191440000,28.99707305,0.650454692,20720,77.188,67.787,72.644,5.42E+09,9.83E+09,151.6211797,1.363672275,97.06385625,87.22763606,306.7636583,0.489210768,6356143,7,6,1874999,29.499,-2.189926293,28.8,6,52.07560623,21040,62039.68,4481144,70.501,1.631869711,2.152227176,8.78
San Marino,SMR,SM,republic,San Marino,9/5/0301,43 56 N,12 25 E,"15,800","38,000","17,200","12,500","$2,064,000,000 ",1.9,"$59,000 ",NA,-1.1,"21,960",8.1,NA,40.6,-2.9,24.1,1,NA,5.92,0.00,"$3,827,000,000 ","$2,551,000,000 ","$392,000,000 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,"33,779",44.7,0.7,8.6,8.8,7.2,NA,4.3,83.4,1.51,NA,NA,3,27.4,NA,NA,292,3.55096,16.66666667,10,16.66666667,0.029847182,7.9,0,NA,NA,NA,NA,7.6,NA,NA,0,1657759063,1468895284,NA,1.305516565,60,NA,NA,NA,NA,NA,109.1511461,0,100,100,558.4,0.694863225,33504,3,5,1035,3.09,-4.717856028,8.56,8,4656.160458,60,0,32469,96.91,0.872314366,NA,NA
Somalia,SOM,SO,in the process of building a federal parliamentary republic,Mogadishu,7/1/60,2 04 N,45 20 E,"48,000","6,653,040","203,366","92,000","$20,440,000,000 ",2.3,NA,NA,3.5,"4,154,000",NA,NA,2.1,-0.1,76.7,1.5,NA,NA,-464000000.00,"$819,000,000 ","$94,430,000,000 ","$30,450,000 ","$5,300,000,000 ","339,000,000","315,300,000",0,0,"85,000.00",93,0,0,7,0,0,0,0,0,0,0,0,0,"5,663,000,000","852,500.00","637,657.00",NA,"11,259,029",18.2,2.08,39.3,12.8,-5.6,829,93,53.2,5.7,8.3,23,NA,NA,61,NA,NA,0.991144636,70.33665955,441250,1.753435139,0.077543353,42.096,30000,645.392,0.045496236,0,100,11.289,6.265,3.34E+08,10.02040392,NA,NA,1.88,NA,627340,58.022,54.697,56.324,NA,NA,46.89983586,29.18819833,50.81510642,37.00522937,22.61232027,2.776253649,14185613,3,6,7970045,56.184,1.765087584,3.34,6,0.775433533,637660,30000,6215568,43.816,4.087986165,0.827283619,0.83
Serbia,SRB,RS,republic,Belgrade,6/5/06,44 50 N,20 30 E,"2,609,592","8,626,903","4,790,488","1,474,970","$105,700,000,000 ",1.9,"$15,100 ",15.3,3.9,"2,920,000",14.1,38.7,42.7,0.2,62.5,3.1,3.5,8.2,-2354000000.00,"$15,920,000,000 ","$20,440,000,000 ","$11,910,000,000 ","$29,500,000,000 ","36,540,000,000","29,810,000,000","6,428,000,000","5,068,000,000","7,342,000.00",65,0,35,1,"17,000",123,"40,980","77,500,000","74,350","509,700,000","2,718,000,000",0,"2,010,000,000","48,140,000,000","50,210,000.00","77,474.00",1.39,"7,078,110",42.8,-0.47,8.9,13.6,0,12,5.7,75.9,1.44,21.5,1.8,4,29.7,26,"3,809","44,248",3.730016631,39.33226618,34400,29.705008,0.368076152,9.2,2067,45221.444,6.406826438,9.576710996,19.67239702,14.3,1.46,2355214637,31.1159376,45134159779,40630392019,67.05684137,1.462956797,87460,78.3,73.2,75.68780488,1.49E+10,1.92E+10,102.7161171,0.077332496,85.5288502,97.60069851,80.70343014,-0.523694463,7058322,6,4,3119072,44.19,-0.781339552,4982.05,8,551.6891975,88360,8944.66,3939250,55.81,-0.319220861,6.149650149,6.15
South Sudan,SSD,SS,republic,Juba,7/9/11,04 51 N,31 37 E,0,"1,511,529",NA,150,"$20,010,000,000 ",-5.2,"$1,600 ",3.6,NA,NA,NA,46,8.5,-1.3,62.7,187.9,NA,13.38,-154000000.00,"$1,130,000,000 ","$3,795,000,000 ","$73,000,000 ",NA,"412,800,000","391,800,000",0,0,"80,400.00",100,0,0,1,"150,200","147,300",0,"3,750,000,000",0,0,0,0,0,"63,710,000,000","1,224,000.00","644,329.00",1.33,"10,204,581",18.1,-1.16,36.9,19.3,-29.2,"1,150",90.4,NA,5.34,6.6,29.1,1,38.6,85,248,"7,000",1.762725033,NA,285331.9922,NA,NA,35.738,35000,1727.157,0.159441965,0,100,10.694,4.855,-7850000,NA,NA,NA,6.679728051,NA,NA,58.64,55.64,57.12,NA,NA,24.92495281,64.26310236,40.81390459,10.43676984,NA,1.084594613,10832512,3,6,8764369,80.908,0.788404437,2.01,6,0.092314691,NA,35020,2068143,19.092,2.349616768,15.50158188,15.5
Sao Tome and Principe,STP,ST,republic,Sao Tome,7/12/75,0 20 N,6 44 E,"5,569","173,646","50,000","1,479","$686,000,000 ",3.9,"$3,200 ",18.7,5,"72,600",12.2,30.8,26.2,-2.4,88.4,5.7,16,19.61,-32000000.00,"$15,600,000 ","$127,700,000 ","$58,950,000 ","$292,900,000 ","66,000,000","61,380,000",0,0,"18,100.00",88,0,11,1,0,0,0,0,0,0,0,0,0,0,"148,100.00",964,NA,"204,454",18.7,1.66,31.5,6.7,-8.2,130,44.1,65.7,4.11,12.4,8.8,4.9,20.8,2,NA,NA,3.48,50.72916746,487.0000076,9.062499801,0.042809271,32.437,11750,121.011,0.595447455,0,100,5.002,4.426,23331087.12,55.83333174,256751827.3,347544772,28,5.102233486,960,72.05,67.321,69.67,1.40E+07,1.39E+08,87.60991404,47.61353483,84.20084459,42.82965042,211.6947917,1.88502548,203227,3,6,58749,28.908,-1.241642584,0.87,6,14.76181807,960,11750,144478,71.092,3.18491763,0.244162519,29.21
Suriname,SUR,SR,constitutional democracy,Paramaribo,11/25/75,5 50 N,55 10 W,"89,030","795,871","265,964","71,217","$8,688,000,000 ",1.9,"$14,900 ",46.6,1,"144,000",8.9,NA,16.4,-7.8,69.3,22,10,14.43,-2000000.00,"$2,028,000,000 ","$1,293,000,000 ","$424,400,000 ","$1,700,000,000 ","1,967,000,000","1,750,000,000",0,0,"504,000.00",61,0,38,2,"17,000",0,820,"84,200,000","7,571",0,0,0,0,0,"2,075,000.00","163,820.00",NA,"597,927",30.2,1,15.6,6.1,0.5,120,23.7,72.8,1.9,26.4,6.4,NA,13.4,55,NA,"4,304",3.4447781,0.557692308,870,0.416666667,0.115067058,19.042,47013,1738.158,3.076995794,0.421940928,95.14767932,7.219,2.469,231666845.7,98.25769356,4469742961,3128953537,45.4,26.16398894,156000,74.701,68.183,71.358,1.44E+09,1.25E+09,142.8391115,3.147294349,94.51939812,84.14052193,3.621076923,1.022222701,564888,2,6,191836,33.96,1.069629804,21.64,7,139.8507315,163820,47115.1,373052,66.04,0.997853107,8.483212973,14.52
Slovakia,SVK,SK,parliamentary democracy,Bratislava,1/1/93,48 09 N,17 07 E,"758,842","7,117,753","4,382,558","1,404,751","$179,700,000,000 ",3.4,"$33,100 ",20.6,2.7,"2,758,000",8.1,23.7,39.4,-1,50.9,1.3,0,2.44,-2005000000.00,"$80,800,000,000 ","$80,070,000,000 ","$3,622,000,000 ","$75,040,000,000 ","25,320,000,000","26,640,000,000","10,600,000,000","13,250,000,000","7,644,000.00",36,27,24,13,200,"1,022","111,200","9,000,000","131,300","104,800,000","4,672,000,000",0,"4,984,000,000","14,160,000,000","34,860,000.00","49,035.00",1.74,"5,445,040",41,-0.02,9.6,9.9,0.1,5,5,77.4,1.42,20.5,NA,3.9,18.9,35,"3,580","56,926",3.79613486,39.22628952,18860,28.01580699,0.248029848,10.6,1866,32423.614,5.970322225,27.516399,26.45329111,9.6,1.48,4742874364,40.35357636,1.0467E+11,89640616271,80.47585728,-0.507605002,48080,80.7,73.8,77.16585366,7.71E+10,7.47E+10,128.4435529,0,99.7875169,97.93170395,112.9533694,0.12892233,5430798,3,4,2508703,46.194,0.308762975,5492.66,9,3240.776033,49030,4034.65,2922095,53.806,-0.02521845,37.28351573,37.28
Slovenia,SVN,SI,parliamentary republic,Ljubljana,6/25/91,46 03 N,14 31 E,"717,235","2,443,172","1,493,382","601,821","$71,230,000,000 ",5,"$34,500 ",26.4,8.6,"959,000",6.6,24.4,43.1,0,73.6,1.4,0,2.59,3475000000.00,"$32,140,000,000 ","$30,380,000,000 ","$889,900,000 ","$46,300,000,000 ","15,460,000,000","13,400,000,000","7,972,000,000","8,359,000,000","3,536,000.00",37,20,34,9,5,0,0,0,0,"8,000,000","906,100,000","2,832,000","906,100,000",NA,"14,370,000.00","20,273.00",1.04,"2,102,126",44.2,0.03,9.2,9.9,1,7,1.6,81.2,1.58,20.2,NA,4.8,11.2,16,"1,229","38,985",4.299492427,30.65633976,6174.799805,9.129183266,0.089044196,9.9,310.519,12632.815,6.117461533,12.77213353,53.99129173,9.5,1.58,1446274235,61.97001199,50700774966,44651537260,75.49850426,0.751406257,20141.99951,84.3,78.2,81.17560976,3.29E+10,3.05E+10,115.0200317,0,99.53438258,99.10944205,102.5241808,0.073197207,2065042,5,6,949506,45.98,-0.445239377,3357.55,7,5630.87821,20675,2154.219,1115536,54.02,0.51660008,55.09202334,53.64
Sweden,SWE,SE,constitutional monarchy,Stockholm,6/26/1523,59 20 N,18 03 E,"2,794,418","12,435,709","9,041,427","3,735,884","$518,000,000,000 ",2.1,"$51,200 ",28.9,4.1,"5,361,000",6.7,24.9,50.6,1.3,40.8,1.9,-0.5,1.93,17790000000.00,"$165,600,000,000 ","$153,200,000,000 ","$62,220,000,000 ","$939,900,000,000 ","152,900,000,000","133,500,000,000","26,020,000,000","14,290,000,000","40,290,000.00",5,22,42,32,0,"14,570","400,200",0,"413,200",0,"764,500,000",0,"764,500,000",0,"52,310,000.00","450,295.00",1.04,"10,040,995",41.1,0.8,12.1,9.4,5.3,4,2.6,82.2,1.87,20.6,NA,7.7,17.9,231,"14,127","573,134",7.252830106,7.442734036,30315,6.320984257,0.259455613,11.8,208783,43252.265,4.35875184,4.332344214,74.27723612,9.2,1.85,15642242214,68.92293339,5.63518E+11,5.15655E+11,89.65094761,1.525609914,407310,84.1,80.6,82.30731707,1.39E+11,1.41E+11,127.5231707,0,99.99999628,99.29786352,24.36248803,1.256453985,9923085,6,6,1304687,13.148,-0.992235061,20860.65,6,6205.932933,447430,224530,8618398,86.852,1.601319652,12.86528285,14.47
Swaziland,SWZ,SZ,monarchy,Mbabane,9/6/68,26 19 S,31 08 E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.790915871,71.04651163,12220,10.1744186,0.157093818,27.176,65,1155.105,1.036913457,0,72.38095238,10.462,3.041,26852077.65,34.33720788,5194307616,3840677845,28.57352278,7.343985437,17200,61.214,53.152,56.962,1.63E+09,1.48E+09,89.31801432,7.051357638,68.94829243,58.36818914,64.76651163,0.896297661,1113984,3,7,852654,76.541,0.688693691,21.26,5,26.03268988,17360,165,261330,23.459,1.576670042,4.09554739,4.1
Seychelles,SYC,SC,republic,Victoria,6/29/76,4 37 S,55 27 E,"19,652","167,282","52,664","15,221","$2,750,000,000 ",5.3,"$29,300 ",8.1,2.3,"47,210",3,46.8,39.6,-0.5,63.6,2.9,11.17,12.24,-307000000.00,"$564,800,000 ","$1,155,000,000 ","$545,200,000 ","$2,559,000,000 ","350,000,000","325,500,000",0,0,"88,000.00",91,0,0,9,0,0,0,0,0,0,0,0,0,0,"1,150,000.00",455,1.44,"94,633",35.8,0.74,13.4,7,1,NA,9.7,75.2,1.85,14,3.6,4.4,10.9,14,NA,526,4.534339686,3.369565114,15.49999952,0.326086969,0.001584334,17.4,127128,605.055,6.390728477,0,100,7.9,2.39,40854189.7,88.4130395,1288183826,1426651766,56.51470815,-0.908282429,460,80.2,68.7,74.3097561,4.60E+08,1.04E+09,158.6636715,0,96.24901256,100,205.8195652,1.33763478,94677,2,6,41818,44.169,0.366542102,12.13,7,30947.32617,460,127128,52859,55.831,2.112626726,0.051367065,42.1
Syria,SYR,SY,republic under an authoritarian regime,Damascus,4/17/46,33 30 N,36 18 E,"2,726,193","15,650,000","5,476,850","1,154,909","$50,280,000,000 ",-36.5,"$2,900 ",17,4.3,"3,767,000",50,NA,4.2,-8.7,94.8,28.1,0.75,14,-2123000000.00,"$1,850,000,000 ","$6,279,000,000 ","$407,300,000 ","$4,989,000,000 ","17,070,000,000","14,160,000,000","262,000,000",0,"9,058,000.00",83,0,17,0,"25,000",0,"87,660","2,500,000,000","111,600","3,738,000,000","3,738,000,000",0,0,"240,700,000,000","27,510,000.00","187,437.00",NA,"19,454,263",24.5,7.37,20.7,4,57,31,14.4,75.2,2.44,27.8,10.2,5.1,35.8,90,"2,052","69,873",2.5960693,75.81005282,139210,25.3880085,0.267103122,24.525,4500,28829.954,1.651774073,24.14143984,68.5194607,5.726,2.889,NA,2.673855035,NA,NA,31.86962727,NA,183630,77.084,64.512,70.315,1.70E+09,4.50E+09,76.43527339,0.676031699,97.05907506,91.39603204,95.0494636,-3.066273746,17453933,3,6,8232147,47.165,-4.4705555,275.54,6,6.302304472,185180,7000,9221786,52.835,-1.795813422,0.662923846,0.69
